C	Y
192.5	203.2
196.1	197.1
196.9	202.9
197	202.2
198.1	203.5
199	211.7
199.4	215.3
200.6	215.1
199.9	212.9
203.6	213.9
204.8	214
209	214.9
210.7	228
214.2	227.3
225.6	232
217	236.1
223.3	230.9
214.5	236.3
217.5	239.1
219.8	240.8
220	231.1
227.7	240.9
223.8	245.8
230.2	248.8
234	253.3
236.2	256.1
236	255.9
234.1	255.9
233.4	254.4
236.4	254.8
239	257
243.2	260.9
248.7	263
253.7	271.5
259.9	276.5
261.8	281.4
263.2	282
263.7	286.2
263.4	287.7
266.9	291
268.9	291.1
270.4	294.6
273.4	296.1
272.1	293.3
268.9	291.3
270.9	292.6
274.4	299.9
278.7	302.1
283.8	305.9
289.7	312.5
290.8	311.3
292.8	313.2
295.4	315.4
299.5	320.3
298.6	321
299.6	320.1
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
